s,t
0,2
0,21
0,96
0,115
0,122
1,36
1,100
1,125
2,16
2,21
2,38
2,41
2,65
2,75
2,79
2,86
2,87
2,96
2,102
2,109
2,114
2,115
2,122
2,130
3,32
3,64
6,58
6,79
7,94
7,115
7,122
8,54
8,135
9,45
11,60
11,82
11,94
11,135
12,44
12,79
15,55
16,21
16,38
16,41
16,65
16,75
16,86
16,87
16,96
16,102
16,114
16,115
16,122
17,26
21,25
21,55
21,60
21,65
21,86
21,87
21,96
21,102
21,114
21,115
21,122
24,41
24,147
25,60
25,86
25,114
25,125
29,134
31,121
36,79
38,41
38,75
38,87
38,95
38,102
38,122
38,125
41,55
41,65
41,75
41,79
41,87
41,102
41,109
41,115
41,122
41,125
44,75
45,64
45,79
48,89
54,127
54,143
55,79
55,86
55,96
55,115
55,122
55,125
55,130
58,105
60,65
60,82
60,86
60,115
60,122
63,90
65,75
65,86
65,87
65,96
65,102
65,114
65,115
65,122
70,134
71,83
73,86
73,95
73,96
73,142
73,144
75,79
75,96
75,102
75,114
75,115
75,122
75,130
79,96
79,102
79,114
79,115
79,122
81,100
82,134
86,96
86,102
86,115
86,122
86,127
87,102
87,114
87,115
87,122
89,109
89,122
89,127
95,102
95,122
95,135
96,102
96,114
96,115
96,122
100,125
102,114
102,115
102,122
102,125
103,106
106,147
114,115
114,122
115,122
127,142
