s,t
0,2
0,3
0,21
0,75
0,115
0,122
1,36
1,44
1,100
2,3
2,16
2,21
2,41
2,65
2,75
2,79
2,86
2,87
2,95
2,96
2,102
2,109
2,114
2,115
2,122
3,16
3,38
3,41
3,55
3,65
3,73
3,79
3,86
3,87
3,95
3,96
3,102
3,115
3,122
6,58
6,79
7,21
7,94
7,115
7,122
8,25
8,54
9,45
11,16
11,60
11,94
11,102
12,44
12,79
15,55
16,21
16,38
16,41
16,65
16,75
16,86
16,87
16,102
16,114
16,115
16,122
17,26
21,25
21,60
21,65
21,75
21,79
21,86
21,87
21,102
21,114
21,115
21,122
24,41
25,60
25,79
25,86
25,114
31,121
32,96
36,79
38,41
38,75
38,79
38,87
38,95
38,96
38,102
38,122
41,55
41,65
41,75
41,79
41,87
41,102
41,109
41,115
41,122
44,75
45,64
45,79
48,89
55,75
55,79
55,86
55,102
55,115
55,122
58,105
58,106
60,65
60,82
60,86
60,115
60,122
63,90
65,75
65,86
65,87
65,102
65,114
65,115
65,122
70,82
71,83
73,86
75,79
75,96
75,102
75,114
75,115
75,122
79,86
79,96
79,102
79,115
79,122
81,100
86,89
86,96
86,102
86,115
86,122
87,102
87,114
87,115
87,122
89,109
89,122
95,102
95,122
96,102
96,115
96,122
102,114
102,115
102,122
103,106
114,122
115,122
