s,t,s1,s2,s3,s4,t1,t2,t3,t4
9100,10104,3,0,1,0,2,0,0,0
1385,14428,1,0,0,0,40,15,15,14
1837,7635,6,0,0,0,7,0,1,2
7763,7013,3,0,0,1,2,0,0,0
10149,4741,7,0,1,0,16,0,3,0
11315,1112,2,0,0,0,2,0,1,0
15854,14077,1,3,0,0,1,2,0,0
16749,16764,7,0,0,0,13,0,0,0
9856,9816,2,0,0,0,1,0,0,0
2193,12170,11,0,1,0,16,1,0,0
9471,10285,1,0,0,0,1,0,0,0
7280,12328,2,2,0,0,1,0,0,0
3479,17243,1,0,0,0,118,0,1,3
5237,2302,1,0,0,0,3,0,1,0
7521,12409,79,3,4,0,37,0,14,0
4679,11675,1,0,0,0,1,0,0,0
13574,3171,34,0,0,0,69,0,1,0
12139,10935,1,0,0,0,20,0,1,0
9613,4375,1,0,0,2,1,0,0,0
3417,8436,1,0,0,0,1,0,0,0
3281,9040,1,0,0,0,1,0,0,0
759,9831,30,0,3,0,4,0,0,0
6052,5226,2,2,2,0,1,13,0,0
14368,17144,85,1,1,2,8,0,0,0
17321,8311,3,0,6,1,47,2,7,11
4082,2333,2,0,1,0,1,0,2,1
7999,13736,16,0,5,1,33,0,3,0
7990,218,1,0,0,0,20,0,5,5
16452,15184,1,1,0,0,1,0,0,0
13073,10850,2,0,0,3,5,3,0,12
9452,9712,1,0,0,0,11,6,4,0
3452,7619,138,4,7,4,2,2,1,0
10727,2780,1,0,0,0,1,0,0,0
9467,10793,16,0,1,0,56,10,21,3
6685,14732,1,0,0,0,3,0,0,0
13927,2259,20,0,1,0,2,0,1,0
5398,11901,5,0,2,0,7,0,0,0
1057,702,3,0,0,0,37,0,0,0
15711,4071,2,0,0,0,1,0,1,0
16988,10330,1,0,0,0,1,0,0,0
759,9814,30,0,3,0,5,0,3,1
5443,865,2,0,0,0,5,0,0,0
7741,1003,2,0,0,0,3,1,0,0
3906,702,1,0,0,0,37,0,0,0
8804,13134,11,0,1,0,12,0,0,0
1635,17058,1,0,0,0,1,0,0,0
14620,12176,23,2,1,0,30,0,1,1
1879,2634,1,0,0,0,1,0,0,0
12935,3353,32,0,10,1,10,0,1,0
9513,8016,41,0,0,0,4,0,0,0
8687,7252,31,5,7,24,11,0,3,10
14171,16332,1,0,0,0,10,0,0,0
7021,3266,5,0,1,0,1,0,0,0
4727,3993,2,0,0,0,1,0,0,0
17054,3031,1,0,0,0,1,0,0,0
3253,1455,13,0,0,0,1,0,0,0
16268,12992,1,0,0,0,6,0,0,0
10607,5570,19,8,7,3,1,0,0,0
1927,1370,11,1,0,3,11,3,2,35
1370,5856,11,3,2,35,15,4,2,65
10902,16271,1,0,0,3,1,0,0,3
4517,12956,9,1,1,0,3,0,0,0
8687,7282,31,5,7,24,1,2,0,2
3445,7678,8,0,0,0,35,0,5,0
957,13678,3,0,0,0,91,0,5,1
2008,12959,1,0,0,0,1,0,0,0
10688,7892,17,0,1,2,19,0,0,0
3832,6232,1,0,0,0,61,0,2,3
9445,9785,1,3,0,6,1,0,3,1
3198,2343,22,0,0,2,7,0,2,3
14303,14871,1,0,0,0,1,0,0,0
610,16254,52,0,1,0,39,3,1,20
5485,3914,1,0,0,0,15,0,1,0
8629,7181,1,0,0,0,1,0,0,0
8634,16408,20,0,5,5,11,0,0,0
13215,2834,4,0,0,0,37,0,0,0
618,5881,11,0,0,1,113,0,1,0
13637,13493,1,0,0,0,21,0,5,0
411,13329,2,0,0,0,4,3,1,0
8708,7727,72,1,3,13,6,9,3,9
4973,8391,2,0,0,0,1,0,0,0
4388,9051,18,0,0,1,24,0,0,1
13787,5106,110,1,26,5,1,0,1,0
374,11732,8,0,0,0,8,0,0,0
2563,16268,3,0,0,0,1,0,0,0
8811,5568,2,0,0,0,1,0,0,0
5913,15138,9,0,0,3,3,0,1,2
7585,385,1,0,2,0,5,2,3,3
72,17489,13,0,1,0,2,0,0,0
12534,15804,1,0,0,0,1,0,0,0
4302,6964,2,0,0,0,10,0,0,0
202,13329,65,0,9,9,4,3,1,0
1208,13056,9,0,0,0,1,0,0,0
4971,3376,3,0,2,0,1,0,0,0
16536,6442,2,0,0,0,5,9,3,0
3139,13388,1,0,0,0,1,0,0,0
12918,14248,45,1,4,1,5,0,0,0
2369,15355,20,0,1,0,11,0,1,0
7652,6566,6,0,0,1,1,0,0,0
16254,9964,39,3,1,20,1,0,0,0
16254,9960,39,3,1,20,1,0,0,0
12934,11182,1,0,0,0,9,0,0,0
1332,4268,79,2,2,6,7,0,0,1
4412,10520,5,0,0,0,4,0,0,0
7840,2894,22,0,0,0,2,0,0,0
4004,17208,10,0,0,0,2,2,0,0
6596,1110,6,2,0,2,16,1,19,2
6052,15723,2,2,2,0,1,12,0,0
3905,14719,3,0,0,0,2,0,0,0
2447,3596,3,0,0,0,6,0,0,0
16608,16095,1,0,0,0,4,0,0,0
10914,13467,1,3,12,10,1,1,8,20
16360,973,21,0,2,0,9,0,1,1
11363,17423,1,0,0,0,1,0,0,0
7172,9513,109,5,6,2,41,0,0,0
5352,15617,68,5,5,9,3,0,1,0
10761,16943,1,0,0,0,70,0,9,13
7142,15201,1,0,0,0,2,0,4,0
3202,1266,1,0,1,0,7,2,6,0
9450,12961,1,0,0,0,1,0,0,0
2347,6334,1,0,1,0,2,0,0,0
5654,5464,10,0,0,0,1,0,0,0
5881,17464,113,0,1,0,92,0,2,0
15917,5015,3,0,0,0,63,0,0,0
4595,11295,2,0,0,0,3,0,0,0
3047,12566,74,1,13,57,5,0,1,7
14141,6180,3,4,0,0,21,1,2,2
16020,9323,1,0,0,0,1,0,0,0
1356,17243,1,0,0,0,118,0,1,3
10062,1215,14,0,1,0,15,0,5,0
10607,5761,19,8,7,3,94,3,38,164
3452,7586,138,4,7,4,21,2,10,50
6411,8447,24,1,4,0,20,0,0,0
8748,10701,1,2,1,3,2,28,6,29
4735,14169,4,0,0,3,2,0,0,0
10451,6706,12,0,0,0,51,0,2,0
10451,6711,12,0,0,0,5,0,0,0
6379,2928,27,0,11,0,53,2,28,10
1215,1986,15,0,5,0,1,0,1,0
15687,4625,3,0,0,0,39,0,5,0
15979,264,1,0,0,0,7,11,3,7
3088,9979,4,0,0,0,45,1,0,1
1123,15231,1,0,0,0,1,0,0,0
7700,5488,1,0,0,0,1,0,0,0
12252,6228,2,0,0,0,11,0,3,5
16634,8488,6,0,1,1,2,30,0,6
1424,17288,3,0,1,0,9,0,0,0
12976,16854,1,0,0,0,7,0,0,1
2369,15319,20,0,1,0,2,0,1,0
5872,2540,2,0,0,0,1,0,0,0
16289,11144,30,0,3,0,1,0,0,0
4783,7077,1,0,0,0,1,0,0,0
8964,14537,6,0,0,0,4,0,0,0
8898,4131,1,9,10,13,10,1,5,2
16536,6408,2,0,0,0,3,2,0,0
16006,13766,2,3,6,0,1,1,0,0
6631,1666,2,0,0,0,1,0,0,0
11462,12084,21,0,2,0,4,0,1,0
14841,6504,1,0,0,0,1,0,0,0
13965,11909,31,0,0,0,11,1,8,2
9737,16894,1,0,0,0,1,0,0,0
12766,9078,11,0,2,0,13,0,0,0
8918,17161,114,3,0,13,5,0,0,0
9452,9308,1,0,0,0,82,2,15,1
5111,7825,24,3,2,1,1,0,2,3
9459,5391,6,0,0,0,6,1,0,0
10713,4443,4,1,6,16,3,13,10,23
13102,6920,6,0,1,0,5,0,0,0
16448,15683,3,9,4,9,1,0,1,0
6518,10213,4,0,3,0,9,0,2,0
9799,16157,9,0,5,0,2,0,2,0
12796,14987,1,0,4,1,1,0,0,0
2607,11283,1,0,0,0,4,2,1,0
5104,7875,1,0,0,0,1,0,1,0
16459,2110,1,0,0,0,1,0,0,1
13555,1890,7,0,0,1,3,0,0,0
2065,12526,10,5,21,15,3,7,5,15
202,13360,65,0,9,9,107,5,4,2
10307,16163,10,3,5,5,43,8,20,8
1789,9814,1,1,0,0,5,0,3,1
3452,7551,138,4,7,4,7,1,0,0
11169,16966,1,0,0,0,1,0,0,0
65,13135,39,0,6,2,1,0,0,0
8211,2433,1,0,0,0,2,9,1,1
11165,579,7,0,0,0,21,0,0,0
12918,14222,45,1,4,1,142,25,60,238
4753,6245,1,0,1,0,9,3,5,1
2469,8597,5,0,1,0,24,0,4,1
435,15334,7,0,13,14,1,0,2,0
5704,8399,3,0,0,0,2,0,1,0
4965,14037,1,0,0,0,2,12,14,18
9496,755,2,0,0,0,3,0,0,0
14780,13230,1,4,2,0,1,0,0,0
3481,10984,7,4,4,0,1,0,3,0
3098,998,54,1,1,7,2,0,0,0
10700,11365,1,0,0,0,1,0,0,0
3294,12652,1,3,0,2,1,0,0,1
4055,16336,2,0,2,0,2,0,5,1
2812,8468,31,2,16,2,2,6,4,0
6606,13929,14,3,3,0,1,0,0,0
10166,15636,1,0,0,0,1,0,0,0
3901,3131,33,0,0,0,28,0,8,1
202,13347,65,0,9,9,91,0,6,22
10125,13741,17,0,1,0,3,0,0,0
3798,3125,13,4,4,0,16,0,0,0
8198,13168,60,0,0,0,2,0,0,0
5512,5793,24,2,5,4,143,0,6,4
13028,16819,1,0,0,0,1,0,0,0
10850,14368,5,3,0,12,85,1,1,2
15212,6944,1,0,0,0,20,2,21,8
1419,13032,13,0,6,0,8,0,0,0
2279,13762,9,0,0,0,19,0,6,1
13112,12085,8,0,0,0,99,0,2,1
13893,4646,81,0,3,11,1,0,0,0
13314,1767,24,4,2,0,8,0,0,0
13938,15355,1,1,0,0,11,0,1,0
6411,10847,24,1,4,0,6,3,5,0
9103,13556,6,0,8,1,19,0,0,0
15707,6795,3,0,0,0,7,2,0,0
1034,518,1,0,0,0,1,0,0,0
4231,4531,23,1,10,3,3,0,1,0
3670,4676,31,2,38,19,1,0,0,0
14973,15751,1,0,0,0,1,0,0,0
16938,14336,3,0,0,0,57,0,2,1
5881,17400,113,0,1,0,4,0,0,0
258,14640,6,1,5,0,1,0,0,0
15469,459,14,18,33,1,1,0,0,0
7700,5433,1,0,0,0,6,0,0,0
6239,10669,1,17,6,3,3,0,0,0
11090,7382,7,0,0,0,1,0,0,0
8257,10935,2,0,0,0,20,0,1,0
11401,2931,1,0,0,0,143,22,55,199
13862,4099,29,1,1,1,2,0,0,0
7956,8089,107,0,6,7,16,2,19,59
12184,13230,1,0,0,0,1,0,0,0
2279,13787,9,0,0,0,110,1,26,5
12577,7615,1,0,0,0,88,1,0,0
4048,12860,29,0,2,10,1,0,0,0
1885,10687,1,2,1,0,1,0,0,0
5800,6353,10,0,8,1,3,0,6,0
9513,16254,41,0,0,0,39,3,1,20
7912,9455,1,0,1,0,1,1,0,0
17135,14250,1,0,0,0,1,0,0,0
15473,4123,10,0,1,0,1,0,0,0
4533,3398,201,2,12,4,6,0,1,0
6724,6460,1,0,0,0,4,0,0,0
10832,3275,2,0,0,0,1,0,0,0
14576,6747,1,0,1,0,1,0,1,0
9473,7866,2,0,0,0,15,0,1,0
11627,3797,1,0,0,0,1,0,0,0
6874,10147,1,0,0,0,1,0,0,0
10710,16493,8,0,0,0,26,1,0,0
8860,9277,41,0,3,0,40,0,0,4
6064,11743,37,0,2,0,1,0,0,0
2827,2476,1,0,1,4,7,1,1,0
12603,2800,8,0,0,0,6,0,1,0
6411,10827,24,1,4,0,11,0,0,0
17467,13017,6,0,0,0,6,0,0,0
4033,14735,15,0,0,0,15,0,1,0
11164,14731,11,0,0,0,1,0,0,0
356,6600,2,0,0,0,3,0,0,0
16608,6867,1,0,0,0,1,0,0,0
8749,4532,1,0,0,0,3,0,0,0
13428,4601,1,0,0,0,1,0,0,1
13846,13685,5,4,0,0,1,1,0,0
13448,15843,2,0,0,0,75,0,0,0
15743,14648,1,0,0,0,3,0,0,0
9877,13829,66,0,2,0,15,3,4,0
15912,5916,2,0,3,1,23,0,1,0
5053,15445,1,0,0,0,1,0,0,0
15333,9308,6,0,0,0,82,2,15,1
1449,874,2,0,0,0,8,0,0,0
11549,1431,5,5,0,0,20,0,9,4
15997,15373,5,0,0,7,7,0,12,9
4507,14393,1,0,0,0,9,0,10,3
16501,16639,1,0,0,0,23,2,5,0
5512,5709,24,2,5,4,39,1,1,0
15864,11315,1,0,0,1,2,0,0,0
10542,6179,9,0,5,2,3,0,0,4
15649,4152,1,0,0,0,1,0,0,0
15864,11317,1,0,0,1,3,1,0,0
7507,13267,11,0,6,0,2,0,1,0
11164,14749,11,0,0,0,1,0,0,0
7207,5723,11,0,3,4,47,0,0,6
5386,14563,83,2,1,0,37,0,7,0
5730,902,1,1,0,0,1,0,0,0
13437,9894,1,0,0,0,1,0,0,0
16360,965,21,0,2,0,13,0,4,0
1268,16196,50,3,42,2,2,2,12,10
12591,7596,1,0,0,0,1,0,0,0
9420,2369,7,0,0,0,20,0,1,0
11505,2086,42,0,1,0,1,0,0,0
5724,9747,63,0,1,0,102,1,20,2
14498,4827,1,0,0,0,56,0,1,3
6139,13156,1,0,0,0,2,0,0,0
12090,4400,1,0,0,0,10,5,1,0
14885,14729,2,0,0,0,1,0,0,0
8451,4533,8,1,1,0,201,2,12,4
7304,9215,1,0,0,0,2,0,0,0
9134,10722,3,0,2,0,68,0,3,0
4851,6085,28,0,1,2,2,0,0,0
3551,5836,6,2,4,0,4,0,0,0
2468,1681,1,0,0,0,4,0,1,0
12689,5194,8,45,3,8,2,2,0,0
12582,2201,1,0,0,0,3,1,1,0
476,3889,1,0,0,0,119,3,16,9
2481,4849,5,0,0,0,1,0,0,0
8566,4502,9,0,1,0,1,0,0,0
14642,14166,6,0,0,0,1,0,0,0
13872,17464,4,0,1,0,92,0,2,0
13427,6151,7,0,0,0,5,0,2,0
5428,9460,6,0,0,0,1,0,0,0
5929,3327,147,0,20,13,9,0,2,1
16021,7780,1,1,0,0,1,0,0,0
6078,17468,1,0,0,0,2,0,0,0
9157,8766,1,0,0,0,5,2,1,0
12566,338,5,0,1,7,9,0,1,7
6064,11789,37,0,2,0,1,0,0,0
602,4797,1,0,0,0,1,0,0,0
5505,3160,1,0,0,0,2,0,0,0
4353,15343,6,0,0,1,26,1,3,4
14918,5111,11,0,2,2,24,3,2,1
5641,11983,5,0,1,2,2,0,0,0
3384,14771,4,0,0,0,2,0,0,0
16628,860,1,0,0,0,1,0,0,0
9143,13064,1,0,0,0,1,2,1,2
11897,7601,1,0,0,0,3,0,0,0
10070,9334,62,18,28,5,5,1,1,0
15990,13936,61,2,5,0,12,7,0,0
2042,6422,2,3,8,8,2,1,3,6
1458,15217,2,0,0,0,54,11,1,1
14216,14653,1,0,0,0,6,0,0,0
13519,4482,9,0,1,0,1,0,0,0
12465,8771,137,0,3,0,1,0,1,1
7487,12943,2,0,0,0,17,0,0,0
15696,14614,1,0,0,0,8,22,11,10
14030,15174,1,0,0,0,1,0,0,0
3488,10283,18,0,0,0,5,1,3,0
17325,15970,1,0,0,0,1,0,0,1
1743,4209,1,0,0,0,1,0,1,0
16059,11283,1,0,0,0,4,2,1,0
14498,4844,1,0,0,0,1,0,0,0
1604,12502,14,0,4,0,7,0,2,1
1446,10972,70,0,1,1,1,0,0,0
6246,14183,1,0,0,0,6,0,0,0
11897,7615,1,0,0,0,88,1,0,0
12850,16677,64,10,23,85,4,8,2,3
16396,13430,1,0,0,0,12,0,2,1
10204,3384,2,0,0,0,4,0,0,0
7892,9990,19,0,0,0,1,0,0,0
6115,10230,1,0,0,0,2,0,1,0
5139,1949,2,0,1,0,10,1,0,1
13705,12560,22,2,5,43,3,6,12,6
9454,10125,1,0,0,0,17,0,1,0
7581,4653,2,0,0,0,2,0,0,0
9651,15223,1,0,0,0,21,0,0,1
9028,6691,25,0,0,0,129,4,75,14
1095,16095,2,0,0,0,4,0,0,0
5484,5286,4,0,3,7,1,0,0,0
2857,5881,4,0,0,0,113,0,1,0
665,148,1,0,0,0,1,0,0,0
3509,6075,5,0,3,0,1,0,0,0
10092,11339,1,0,0,1,1,1,0,0
3792,16431,1,0,0,0,1,0,1,3
7086,11298,3,0,5,0,6,0,1,0
8252,17167,6,0,0,0,3,0,0,0
11005,16995,1,2,0,0,1,0,0,0
16146,11208,1,0,0,0,3,0,1,1
10352,10110,2,0,0,0,1,0,0,0
7271,9612,10,0,20,0,10,0,1,4
5704,8416,3,0,0,0,6,0,0,2
15301,12821,2,2,0,14,24,0,12,20
5576,3054,3,1,0,2,1,2,0,0
7531,3798,8,0,5,0,13,4,4,0
1676,10852,2,0,0,0,16,1,2,0
4844,6139,1,0,0,0,1,0,0,0
9876,8198,8,0,0,0,60,0,0,0
7927,13636,1,0,1,0,2,0,0,0
10467,16815,1,0,0,0,16,0,1,1
1710,11432,1,0,0,0,1,0,0,0
11960,16137,8,0,4,0,1,0,0,0
3156,13565,1,0,0,0,5,0,0,0
1530,2653,1,2,0,0,31,9,13,2
3889,11865,119,3,16,9,1,0,0,0
12935,3272,32,0,10,1,5,0,2,0
7905,8181,7,1,2,9,1,0,0,4
8206,6880,2,0,0,0,2,0,1,1
12748,5963,41,0,0,0,31,0,0,0
16755,3729,1,0,0,0,12,2,15,25
14566,3098,2,1,0,1,54,1,1,7
1370,16613,11,3,2,35,18,0,1,2
14793,5353,36,0,1,0,5,0,0,0
7906,14884,1,1,3,0,1,0,0,0
6129,5005,1,1,0,0,2,1,1,0
1227,1008,22,2,5,0,3,0,0,0
7770,11268,3,0,1,2,1,0,0,0
9865,781,12,0,2,0,7,0,0,0
7958,10825,1,0,0,0,1,0,0,0
10722,13881,68,0,3,0,1,0,0,0
16824,10644,17,1,0,0,1,0,0,0
8459,15795,1,0,0,0,1,0,0,0
17288,13942,9,0,0,0,1,0,0,0
11081,1294,1,0,0,2,1,12,3,10
3105,8690,4,0,0,0,4,0,0,0
623,2928,1,0,0,0,53,2,28,10
378,1947,1,0,0,0,2,0,0,0
8029,10311,75,0,0,1,3,0,0,0
5702,3420,2,0,0,0,33,0,0,0
7970,17288,1,0,0,0,9,0,0,0
12935,3250,32,0,10,1,3,0,1,0
13794,6345,1,0,3,0,1,0,2,0
1386,6900,2,0,0,0,8,0,3,0
8561,15843,5,0,0,0,75,0,0,0
1140,16855,2,0,0,0,29,0,0,0
7892,13718,19,0,0,0,3,0,0,0
5793,14121,143,0,6,4,20,0,0,1
12095,43,1,0,0,0,1,0,0,0
17288,13938,9,0,0,0,1,1,0,0
11601,12089,13,1,1,0,11,26,12,3
13705,12546,22,2,5,43,1,0,1,0
6115,10274,1,0,0,0,1,0,0,0
6791,13388,1,0,0,0,1,0,0,0
13535,15279,39,1,3,3,2,0,1,1
8749,4487,1,0,0,0,1,0,0,0
3120,16758,1,0,0,0,1,0,0,0
7927,13668,1,0,1,0,5,1,2,4
6227,14633,28,7,22,1,3,0,0,0
8687,15486,31,5,7,24,1,1,0,0
16883,7967,1,1,0,0,3,1,3,1
1987,17117,5,0,0,0,56,0,0,0
5254,5929,1,0,0,0,147,0,20,13
1864,8321,1,0,0,0,2,0,0,0
17113,12184,1,0,0,0,1,0,0,0
12003,8074,4,0,3,0,1,0,0,0
6545,1269,1,0,2,0,5,0,4,0
7081,9747,16,0,1,1,102,1,20,2
6054,15768,4,0,0,0,25,0,3,0
582,2517,3,12,15,5,1,0,1,0
4310,12401,21,4,3,2,10,0,1,1
11813,15296,2,0,0,0,2,0,0,1
2652,678,2,0,0,0,1,0,0,0
4350,3306,1,2,0,0,1,0,0,0
14813,14605,1,0,0,2,1,0,0,4
6597,11067,1,0,1,0,11,57,9,0
4604,10248,3,0,0,0,13,0,1,0
16283,4726,1,0,0,0,1,0,0,0
1237,10618,101,0,5,2,8,0,0,0
13862,4172,29,1,1,1,3,0,0,0
12920,16450,7,0,1,0,1,0,0,0
10127,13736,10,0,7,0,33,0,3,0
3899,7215,8,0,0,0,5,0,0,0
7232,16414,7,9,4,0,1,0,0,0
3155,1749,4,1,0,2,2,0,0,0
8918,6247,114,3,0,13,1,0,0,0
1640,11320,28,0,2,0,5,0,4,0
2226,14198,1,0,0,0,1,0,0,0
10673,15933,3,0,0,1,1,0,0,2
413,13283,3,0,0,0,62,2,0,2
2624,11421,6,0,1,1,5,111,2,10
8029,10345,75,0,0,1,1,0,0,0
7719,16651,1,0,0,0,22,0,0,0
4104,7290,2,0,0,0,1,0,0,0
16082,12125,4,0,0,0,1,0,0,0
13927,2317,20,0,1,0,5,0,0,0
5420,5723,2,0,0,1,47,0,0,6
14158,5480,12,0,0,0,6,0,0,0
8451,10109,8,1,1,0,8,0,0,1
15810,4786,1,0,0,0,1,0,0,0
7500,3035,2,0,0,0,3,0,0,0
15041,12603,1,27,1,4,8,0,0,0
16227,8964,1,0,0,0,6,0,0,0
16084,7163,1,0,0,0,3,0,0,0
12768,5927,2,0,1,0,1,0,1,11
11283,8545,4,2,1,0,6,0,2,2
2064,1643,1,0,0,1,1,0,0,1
7027,219,4,3,3,0,1,0,0,0
16073,617,1,0,0,0,1,0,0,0
15516,8482,1,0,0,0,2,0,0,0
9078,15094,13,0,0,0,3,0,0,0
13574,3496,34,0,0,0,15,0,0,0
2383,13910,1,2,0,4,5,0,0,3
1387,15843,4,0,0,0,75,0,0,0
15445,8242,1,0,0,0,1,0,0,0
8186,4749,4,0,1,1,11,0,1,0
4973,8677,2,0,0,0,19,0,1,0
9952,5040,1,2,1,0,2,0,0,0
17301,13893,26,1,2,0,81,0,3,11
15860,6052,1,10,0,0,2,2,2,0
2891,6465,3,0,0,0,5,0,0,0
12054,9714,10,0,0,0,1,0,0,0
5823,14302,1,0,0,0,8,0,0,0
16684,1308,2,0,0,0,11,0,0,0
1189,6710,6,0,0,1,1,0,0,1
10366,3071,7,0,0,0,6,0,0,0
862,10672,1,0,0,0,1,0,0,0
2327,6336,1,0,0,0,7,0,0,0
5386,2345,83,2,1,0,1,3,0,0
9605,6380,7,0,1,6,2,0,0,0
11989,6325,2,0,0,0,12,0,0,0
10307,16213,10,3,5,5,6,0,0,0
15065,7445,1,0,0,0,1,0,0,0
15204,7291,26,0,1,0,1,0,0,0
10353,5653,3,1,3,7,2,0,1,3
9897,6765,1,0,0,0,1,0,0,0
11958,16651,62,0,4,0,22,0,0,0
1972,10638,2,0,0,0,3,0,0,0
16389,9764,3,0,0,0,4,0,0,0
7586,74,21,2,10,50,17,0,2,0
4851,11626,28,0,1,2,1,2,0,0
13485,6846,5,2,2,1,1,2,0,2
2812,8418,31,2,16,2,1,1,0,0
8665,13935,8,2,0,0,1,0,0,0
10440,13878,1,0,0,0,1,0,0,0
6485,9051,1,0,0,0,24,0,0,1
13250,11095,1,2,0,0,1,0,0,0
2955,6505,8,5,1,0,3,0,0,0
2138,13060,1,0,0,0,1,1,1,0
9724,16227,23,0,0,1,1,0,0,0
10444,5483,1,0,1,0,89,1,6,3
8198,13113,60,0,0,0,1,0,0,0
9948,14694,1,1,0,0,1,0,0,0
8260,6197,1,0,0,0,34,0,21,6
5101,4504,1,0,0,0,1,0,0,0
17200,4231,65,2,16,1,23,1,10,3
1227,1072,22,2,5,0,121,16,29,34
7135,11801,2,3,0,0,3,0,1,0
15332,2811,1,1,3,0,2,0,1,0
4681,13643,2,0,2,0,1,2,2,0
4388,9374,18,0,0,1,2,0,0,0
6615,15370,3,0,0,0,10,0,0,0
2478,16403,16,0,0,2,3,0,0,0
3452,7509,138,4,7,4,43,0,6,7
7441,16708,1,0,0,0,1,0,0,0
13040,14896,16,0,0,0,33,0,0,0
7716,15706,1,0,0,0,1,0,0,0
15878,3967,2,0,0,0,2,0,0,0
4216,6185,18,0,2,1,15,2,6,0
151,14965,1,0,0,0,4,3,3,2
8871,11679,1,0,0,0,1,0,0,0
6745,858,1,0,1,0,8,0,0,0
13780,9865,11,4,7,5,12,0,2,0
3996,2834,1,0,0,0,37,0,0,0
5570,10607,1,0,0,0,19,8,7,3
17344,16605,3,0,0,0,13,0,1,4
7251,15072,1,0,0,0,107,0,5,2
952,513,4,0,0,1,2,0,0,1
4203,8708,23,4,12,24,72,1,3,13
12977,540,2,0,0,0,1,0,0,0
10722,13816,68,0,3,0,1,0,0,0
16200,15479,1,0,1,1,2,0,1,1
1576,7738,18,2,1,0,1,0,0,0
11315,1250,2,0,0,0,1,0,0,0
10375,9226,1,0,0,0,1,0,0,0
15657,11073,1,0,0,0,1,0,0,0
8859,11030,1,0,0,0,8,0,0,0
12288,8574,2,0,0,0,47,2,4,0
12294,1545,6,0,1,0,57,1,16,0
5068,9210,15,12,8,9,1,5,0,0
867,11500,1,0,0,0,1,7,0,0
11941,17243,2,0,0,0,118,0,1,3
16336,4055,2,0,5,1,2,0,2,0
1572,12785,1,0,0,0,1,0,0,0
10275,3655,93,2,30,9,1,0,0,0
12239,4762,1,0,0,0,6,2,0,0
12748,16163,41,0,0,0,43,8,20,8
15355,13938,11,0,1,0,1,1,0,0
13148,11045,2,0,0,0,60,0,10,0
15204,16016,26,0,1,0,1,0,0,0
3225,4700,31,0,0,2,8,0,0,0
745,2912,1,7,1,0,1,57,1,0
10128,6496,30,0,4,2,1,0,0,0
5848,182,1,0,0,0,1,1,0,0
10411,16276,3,0,0,0,3,5,1,0
4684,9689,7,0,0,0,38,0,2,2
6096,5708,1,0,0,0,2,0,0,0
6336,16205,7,0,0,0,2,0,0,0
7133,2208,8,0,5,0,5,1,4,0
743,11255,5,0,1,0,57,1,2,0
5793,14153,143,0,6,4,41,12,0,0
6047,1938,2,0,0,0,1,0,0,0
17253,9747,1,0,2,1,102,1,20,2
8014,1767,22,0,0,0,8,0,0,0
8503,12830,1,0,0,0,1,1,0,0
10688,7771,17,0,1,2,4,0,0,8
15355,13905,11,0,1,0,3,1,0,0
11315,11537,2,0,0,0,3,0,1,0
13556,8649,19,0,0,0,4,0,0,0
16057,8713,1,0,0,0,4,0,1,0
5881,7731,113,0,1,0,2,0,0,0
9506,12279,1,0,0,0,2,0,1,0
2605,13861,4,0,0,0,2,0,0,0
952,548,4,0,0,1,3,0,0,4
13136,2167,3,0,0,0,4,0,0,0
2072,8592,2,0,1,1,1,0,0,0
16369,8687,2,2,2,10,31,5,7,24
9299,8515,1,0,0,0,23,0,0,0
13878,5076,1,0,0,0,25,0,0,3
7615,2305,88,1,0,0,1,0,0,0
11273,5202,5,0,1,0,31,0,3,0
3938,2508,3,0,0,0,35,0,0,0
4896,4426,1,0,0,0,12,8,11,14
122,8560,10,0,0,0,1,1,0,0
11407,1424,1,0,0,0,3,0,1,0
7823,16875,13,2,1,0,9,0,15,0
5219,10316,1,1,0,0,6,0,2,11
5325,10363,5,0,3,10,1,0,0,0
8398,8014,2,0,0,0,22,0,0,0
14711,16330,5,0,1,0,2,0,0,0
4533,3452,201,2,12,4,138,4,7,4
12680,4111,1,0,0,1,2,0,0,2
5420,421,2,0,0,1,23,0,1,1
1991,5512,25,0,1,3,24,2,5,4
4471,7204,1,0,0,0,4,0,1,0
8686,12087,4,1,4,0,2,0,1,0
14853,14089,1,0,0,0,2,0,0,0
9634,3,2,0,2,0,5,0,3,0
14365,15283,1,2,0,0,10,0,1,1
2770,3602,1,0,0,3,13,1,6,5
12918,14368,45,1,4,1,85,1,1,2
8416,5076,6,0,0,2,25,0,0,3
6423,594,2,0,0,0,3,0,0,1
235,3892,1,0,0,6,2,0,0,18
6145,1748,1,0,0,0,2,0,3,0
6792,4162,2,0,0,0,1,0,0,0
8138,10104,8,1,16,0,2,0,0,0
6644,12790,1,0,2,0,1,0,0,0
15453,6768,9,1,0,9,8,0,2,0
12890,16095,5,0,0,0,4,0,0,0
10697,15477,30,0,0,0,1,0,0,0
8804,13332,11,0,1,0,16,1,3,0
3345,11012,1,0,0,0,1,0,0,0
6259,5946,48,0,3,0,28,0,0,1
16289,11234,30,0,3,0,12,0,0,0
10755,8307,5,1,8,0,1,0,0,0
12301,13700,10,0,0,0,1,0,0,0
14559,486,2,0,4,0,1,0,0,0
7823,16695,13,2,1,0,3,0,0,0
16239,15898,40,0,3,0,6,1,0,0
